"symbol","first_half_roi","first_half_roi_rank","whole_cycle_roi","whole_cycle_roi_rank"
"BNBUSDT","7.50","1","119.43","1"
"LINKUSDT","6.21","2","64.68","3"
"LTCUSDT","4.70","3","7.74","15"
"BTCUSDT","3.84","4","18.87","7"
"ETHUSDT","3.67","5","51.01","5"
"ONTUSDT","3.37","6","2.26","26"
"EOSUSDT","3.27","7","2.44","25"
"NEOUSDT","3.21","8","7.96","13"
"QTUMUSDT","3.08","9","9.79","11"
"ADAUSDT","3.06","10","67.21","2"
"TRXUSDT","2.61","11","7.77","14"
"VETUSDT","2.46","12","40.29","6"
"ETCUSDT","2.22","13","14.92","8"
"ZECUSDT","2.03","14","3.08","24"
"XMRUSDT","1.96","15","5.20","19"
"DASHUSDT","1.78","16","1.98","27"
"BATUSDT","1.74","17","6.10","17"
"ICXUSDT","1.69","18","12.51","9"
"XRPUSDT","1.49","19","3.81","23"
"OMGUSDT","1.36","20","7.40","16"
"ZRXUSDT","1.28","21","5.01","20"
"HOTUSDT","1.18","22","8.97","12"
"XLMUSDT","1.17","23","3.82","22"
"USDCUSDT","1.00","24","0.99","29"
"PAXUSDT","1.00","25","0.99","28"
"TUSDUSDT","0.99","26","0.99","30"
"NANOUSDT","0.96","27","4.45","21"
"THETAUSDT","0.95","28","59.23","4"
"ZILUSDT","0.91","29","6.02","18"
"WAVESUSDT","0.80","30","10.48","10"
"MITHUSDT","0.62","31","0.81","31"
